x_pos,y_pos,Magnitudue,Radians,Degrees,Dx,Dy,Length Change,Total dist Traveled,percent traveled,accurate angle,Delta Theta
473,239,0,0,0,0,0,0,0,0.0,131.42366562500266
470,234,5.830951894845301,2.1112158270654806,120.96375653207352,-3,-5,5.830951894845301,5.830951894845301,0.008712758342181345,136.54815769897797,0.08943918363711177
464,228,8.48528137423857,2.356194490192345,135.0,-6,-6,8.48528137423857,14.31623326908387,0.021391684084050202,135.0,-0.02702042636406785
458,222,8.48528137423857,2.356194490192345,135.0,-6,-6,8.48528137423857,22.80151464332244,0.034070609825919064,135.0,0.0
451,216,9.219544457292887,2.432966381462123,139.39870535499554,-7,-6,9.219544457292887,32.02105910061533,0.047846690357881944,135.0,0.0
445,209,9.219544457292887,2.279422598922567,130.6012946450045,-6,-7,9.219544457292887,41.240603557908216,0.061622770889844816,136.63657704161673,0.02856363371207061
439,203,8.48528137423857,2.356194490192345,135.0,-6,-6,8.48528137423857,49.72588493214678,0.07430169663171367,140.19442890773482,0.06209617691154397
433,198,7.810249675906654,2.44685437739309,140.19442890773482,-6,-5,7.810249675906654,57.53613460805344,0.08597197264246786,145.30484646876604,0.08919353725311162
427,192,8.48528137423857,2.356194490192345,135.0,-6,-6,8.48528137423857,66.02141598229201,0.09865089838433673,149.03624346792648,0.06512510832551356
421,188,7.211102550927978,2.5535900500422257,146.30993247402023,-6,-4,7.211102550927978,73.23251853321999,0.10942591334586727,152.24145939893998,0.05594152398173719
407,180,16.1245154965971,2.62244653934327,150.25511870305778,-14,-8,16.1245154965971,89.35703402981709,0.1335195792584268,164.74488129694222,0.2182256955585826
407,180,0.0,0.0,0.0,0,0,0.0,89.35703402981709,0.1335195792584268,164.74488129694222,0.0
402,178,5.385164807134504,2.761086276477428,158.19859051364818,-5,-2,5.385164807134504,94.74219883695159,0.14156623106477434,169.21570213243743,0.0780304779365743
395,176,7.280109889280518,2.8632929945846817,164.05460409907712,-7,-2,7.280109889280518,102.02230872623211,0.15244435856671776,182.38563995139737,0.2298585830703686
389,175,6.082762530298219,2.976443976175166,170.53767779197437,-6,-1,6.082762530298219,108.10507125653034,0.16153337883907076,187.7648619394339,0.09388505558553163
385,174,4.123105625617661,2.896613990462929,165.96375653207352,-4,-1,4.123105625617661,112.22817688214799,0.16769422934566683,199.28974214019732,0.2011469354995353
381,174,4.0,3.141592653589793,180.0,-4,0,4.0,116.22817688214799,0.1736711322591576,209.7445772179508,0.18247114073288628
376,175,5.0990195135927845,-2.9441970937399127,-168.6900675259798,-5,1,5.0990195135927845,121.32719639574077,0.18129021840584233,214.50821890867698,0.08314116166204716
371,177,5.385164807134504,-2.761086276477428,-158.19859051364818,-5,2,5.385164807134504,126.71236120287527,0.18933687021218987,226.84730618700317,0.215357517792871
367,178,4.123105625617661,-2.896613990462929,-165.96375653207352,-4,1,4.123105625617661,130.83546682849294,0.19549772071878596,232.69574764302513,0.10207447329902238
365,181,3.605551275463989,-2.158798930342464,-123.69006752597979,-2,3,3.605551275463989,134.44101810395694,0.20088522819955124,232.12471226991033,-0.009966438987909514
360,186,7.0710678118654755,-2.356194490192345,-135.0,-5,5,7.0710678118654755,141.5120859158224,0.21145099965110864,233.12979827516457,0.017542045240259298
356,193,8.06225774829855,-2.0899424410414196,-119.74488129694222,-4,7,8.06225774829855,149.57434366412096,0.2234978326073884,231.3398876669185,-0.03123980704311017
351,199,7.810249675906654,-2.2655346029916,-129.8055710922652,-5,6,7.810249675906654,157.3845933400276,0.2351681086181426,238.6710030532044,0.12795199325778872
345,206,9.219544457292887,-2.279422598922567,-130.6012946450045,-6,7,9.219544457292887,166.6041377973205,0.2489441891501055,248.19828643465675,0.16628232332409382
340,213,8.602325267042627,-2.191045812777718,-125.53767779197437,-5,7,8.602325267042627,175.20646306436313,0.2617980048879511,255.46524084046843,0.1268321738430772
337,222,9.486832980505138,-1.892546881191539,-108.43494882292202,-3,9,9.486832980505138,184.69329604486828,0.27597347480819645,257.0050791290921,0.026875225384207117
335,231,9.219544457292887,-1.7894652726688385,-102.52880770915151,-2,9,9.219544457292887,193.91284050216117,0.28974955534015934,258.68976344698837,0.029403263368109434
