x_pos,y_pos,Magnitudue,Radians,Degrees,Dx,Dy,Length Change,Total dist Traveled,percent traveled,accurate angle,Delta Theta
448,224,0,0,0,0,0,0,0,0.0,136.8476102659946
448,223,1.0,1.5707963267948966,90.0,0,-1,1.0,1.0,0.001407117067729534,138.81407483429035,0.034321252350623555
447,220,3.1622776601683795,1.892546881191539,108.43494882292202,-1,-3,3.1622776601683795,4.16227766016838,0.005856811936252276,149.42077312751098,0.18512165161666114
446,217,3.1622776601683795,1.892546881191539,108.43494882292202,-1,-3,3.1622776601683795,7.32455532033676,0.01030650680477502,154.5366549381284,0.08928890631898663
444,216,2.23606797749979,2.677945044588987,153.434948822922,-2,-1,2.23606797749979,9.56062329783655,0.013452916220518432,154.65382405805332,0.002044985197027205
442,214,2.8284271247461903,2.356194490192345,135.0,-2,-2,2.8284271247461903,12.38905042258274,0.01743284430257797,160.9065079995144,0.10912982968697048
438,212,4.47213595499958,2.677945044588987,153.434948822922,-4,-2,4.47213595499958,16.86118637758232,0.0237256631340648,162.34987578006988,0.025191498809529582
432,209,6.708203932499369,2.677945044588987,153.434948822922,-6,-3,6.708203932499369,23.56939031008169,0.03316489138129504,168.23171106797935,0.10265730512301946
425,207,7.280109889280518,2.8632929945846817,164.05460409907712,-7,-2,7.280109889280518,30.849500199362208,0.043408858261448226,172.23483398157467,0.06986761618956623
416,205,9.219544457292887,2.922923707715851,167.47119229084848,-9,-2,9.219544457292887,40.069044656655095,0.05638183662399627,177.13759477388825,0.08556924598624688
408,204,8.06225774829855,3.017237659043032,172.8749836510982,-8,-1,8.06225774829855,48.131302404953644,0.06772637710606183,184.57361718090945,0.1297829646315207
403,204,5.0,3.141592653589793,180.0,-5,0,5.0,53.131302404953644,0.0747619624447095,185.7102890585082,0.019838650021919344
396,204,7.0,3.141592653589793,180.0,-7,0,7.0,60.131302404953644,0.08461178191881624,191.30962839502877,0.09772682481233122
390,204,6.0,3.141592653589793,180.0,-6,0,6.0,66.13130240495364,0.09305448432519345,197.10242489006095,0.10110328633793411
383,206,7.280109889280518,-2.8632929945846817,-164.05460409907712,-7,2,7.280109889280518,73.41141229423417,0.10329845120534664,197.7443675460655,0.011204003492651772
